ticket_id,industry,ticket_text,category,priority,keywords
45,SaaS,What's included in the enterprise tier?,SaaS Sales,Low,"enterprise,tier,included"
46,SaaS,The dashboard is not loading properly,SaaS Technical,High,"dashboard,not loading"
47,SaaS,How do I set up SSO for my organization?,SaaS Technical,Medium,"SSO,setup,organization"
48,SaaS,We need to add more storage space,SaaS Sales,Medium,"storage,add,more"
49,SaaS,The mobile app keeps crashing,SaaS Technical,High,"mobile app,crashing"
50,SaaS,Can we customize the email notifications?,SaaS Services,Low,"email notifications,customize"
51,Ecommerce,My package hasn't arrived yet,Logistics,High,"package,not arrived,delivery"
52,Ecommerce,How do I return a product for a refund?,Returns & Refunds,Medium,"return,product,refund"
53,Ecommerce,I received the wrong item in my order,Returns & Refunds,High,"wrong item,order"
54,Ecommerce,Can I get a refund for my purchase?,Returns & Refunds,Medium,"refund,purchase"
55,Ecommerce,The discount code isn't working at checkout,Payment Issues,Medium,"discount code,not working"
56,Ecommerce,My account shows I was charged twice,Billing Issues,High,"charged,twice"
57,Ecommerce,How do I update my billing address?,Account Management,Low,"billing address,update"
58,Ecommerce,The website is running very slowly,Technical Issues,High,"website,slow"
59,Ecommerce,I can't add items to my cart,Technical Issues,High,"cart,not adding"
60,Ecommerce,Can I change my password?,Account Management,Low,"password,change"
61,Telecommunication,My internet bill seems too high,Billing Issues,Medium,"bill,too high,internet"
62,Telecommunication,I want to cancel my subscription,Billing Issues,Medium,"cancel,subscription"
63,Telecommunication,How do I check my data usage?,Usage Queries,Low,"data usage,check"
64,Telecommunication,The roaming charges are incorrect,Billing Issues,Medium,"roaming,charges,incorrect"
65,Telecommunication,I need to report a lost phone,Account Security,High,"lost phone,report"
66,Telecommunication,How do I activate my new SIM?,Account Setup,Low,"activate,new SIM"
67,Telecommunication,The wifi keeps disconnecting,Technical Issues,High,"wifi,disconnecting"
68,Telecommunication,I want to enable parental controls,Service Features,Low,"parental controls,enable"
69,Telecommunication,Can I get a temporary number boost?,Service Features,Medium,"number boost,temporary"
70,Telecommunication,The international calling rates seem wrong,Billing Issues,Medium,"international calling,rates"
71,Healthcare,I need to see a specialist,Healthcare Services,Medium,"specialist,see"
72,Healthcare,How much will this procedure cost?,Healthcare Billing,Medium,"procedure,cost"
73,Healthcare,My appointment was cancelled - please reschedule,Healthcare Services,Medium,"appointment,cancelled,reschedule"
74,Healthcare,The medical app isn't syncing with my device,Healthcare Technical,Medium,"app,not syncing"
75,Healthcare,I need my medical records sent to another doctor,Healthcare Services,Low,"medical records,send"
76,Healthcare,What medications are covered by my insurance?,Healthcare Services,Low,"medications,covered,insurance"
77,Healthcare,The prescription refill isn't ready,Healthcare Services,Medium,"prescription,refill,not ready"
78,Healthcare,I have a question about my bill,Healthcare Billing,Low,"bill,question"
79,Healthcare,Can I get a copy of my X-rays?,Healthcare Services,Medium,"X-rays,copy"
80,Healthcare,The check-in system at the clinic isn't working,Healthcare Technical,High,"check-in,not working"
81,Banking,I need to report a fraudulent transaction,Banking Security,High,"fraudulent,transaction,report"
82,Banking,How do I set up automatic payments?,Banking Services,Low,"automatic payments,setup"
83,Banking,My debit card isn't working at ATMs,Banking Technical,High,"debit card,ATM,not working"
84,Banking,Can I increase my credit limit?,Banking Services,Medium,"credit limit,increase"
85,Banking,The mobile banking app keeps crashing,Banking Technical,High,"mobile banking,app,crashing"
86,Banking,I need to update my contact information,Account Management,Low,"contact information,update"
87,Banking,What's the interest rate on savings accounts?,General Inquiry,Low,"interest rate,savings"
88,Banking,Can I open a joint account?,Banking Services,Low,"joint account,open"
89,Banking,The wire transfer didn't go through,Banking Technical,High,"wire transfer,not going through"
90,Banking,I need a bank statement for tax purposes,Banking Services,Low,"bank statement,tax"
91,SaaS,The collaboration features aren't working,Technical Issues,High,"collaboration,features,not working"
92,SaaS,Can we integrate with Slack?,Integrations,Medium,"integrate,Slack"
93,SaaS,How do I invite more team members?,Account Management,Low,"invite,team members"
94,SaaS,The billing is incorrect this month,Billing Issues,Medium,"billing,incorrect"
95,SaaS,I need to export our analytics report,Reporting,Low,"export,analytics,report"
96,SaaS,Can we change our subdomain?,Account Setup,Medium,"subdomain,change"
97,SaaS,The search function is broken,Technical Issues,Medium,"search,broken"
98,SaaS,How do I set up automated workflows?,Features,Medium,"automated workflows,setup"
99,SaaS,We need to upgrade our storage limit,Storage & Capacity,Medium,"storage,upgrade,limit"
100,SaaS,The file upload is timing out,Technical Issues,High,"file upload,timeout"
101,Ecommerce,Can I change my delivery preferences?,Delivery Services,Low,"delivery,preferences,change"
102,Ecommerce,The tracking number shows delivered but I didn't receive it,Logistics,High,"tracking,delivered,not received"
103,Ecommerce,How do I leave a product review?,General Inquiry,Low,"product review"
104,Ecommerce,I want to become a reseller,Partnerships,Medium,"reseller,become"
105,Ecommerce,The live chat isn't connecting,Technical Issues,High,"live chat,not connecting"
106,Telecommunication,I need to upgrade my internet speed,Internet Services,Medium,"internet,speed,upgrade"
107,Telecommunication,The TV streaming is buffering constantly,TV Services,High,"TV,streaming,buffering"
108,Telecommunication,How do I set up call forwarding?,Features,Low,"call forwarding,setup"
109,Telecommunication,I want to port my number to your service,Number Porting,Medium,"port number"
110,Telecommunication,The landline isn't working at all,Technical Issues,High,"landline,not working"
111,Healthcare,I'm having trouble logging into the patient portal,Account Access,High,"patient portal,login,trouble"
112,Healthcare,Can I change my primary care physician?,Healthcare Services,Low,"primary care,physician,change"
113,Healthcare,The video consultation keeps freezing,Healthcare Technical,High,"video consultation,freezing"
114,Healthcare,I need medical forms filled out,Healthcare Services,Low,"medical forms"
115,Healthcare,What are your emergency room hours?,General Inquiry,Low,"emergency room,hours"
116,Banking,I want to set up a trust account,Banking Services,Medium,"trust account,setup"
117,Banking,The check deposit isn't showing in my account,Banking Technical,High,"check deposit,not showing"
118,Banking,Can I get a temporary overdraft limit increase?,Banking Services,Medium,"overdraft,limit,increase"
119,Banking,The Zelle transfer failed,Banking Technical,High,"Zelle,transfer,failed"
120,Banking,I need to close my account,Banking Services,Medium,"close,account"
121,SaaS,Can we white-label the platform?,Enterprise,Low,"white-label,platform"
122,SaaS,The webhook notifications aren't being received,Integrations,High,"webhook,notifications"
123,SaaS,I need to restore a deleted project,Data Recovery,High,"deleted project,restore"
124,SaaS,How do I set up custom domains?,Features,Medium,"custom domains,setup"
125,SaaS,The performance has degraded significantly,Technical Issues,High,"performance,degraded"
126,SaaS,Can I get API access for our developers?,Developer Support,Medium,"API,access,developers"
127,SaaS,We need to migrate from another platform,Migration Services,Medium,"migrate,platform"
128,SaaS,The SSO login isn't working,Technical Issues,High,"SSO,login,not working"
129,SaaS,How do I create backup files?,Data Management,Low,"backup,files,create"
130,SaaS,The mobile notifications are delayed,Technical Issues,Medium,"notifications,delayed"
131,Ecommerce,The product I want is out of stock,Inventory,Medium,"product,out of stock"
132,Ecommerce,How do I apply for a store credit card?,Credit Services,Low,"store credit card,apply"
133,Ecommerce,The gift card balance isn't loading,Technical Issues,Medium,"gift card,balance"
134,Ecommerce,I want to schedule a pickup for my return,Logistics,Low,"pickup,schedule,return"
135,Ecommerce,Can I get a price match?,Sales,Low,"price match"
136,Telecommunication,I need to report service outage in my area,Service Status,High,"service outage,report"
137,Telecommunication,The voicemail isn't being delivered,Technical Issues,Medium,"voicemail,not delivered"
138,Telecommunication,How do I block unwanted calls?,Features,Low,"block,unwanted calls"
139,Telecommunication,I want to enable eSIM on my device,Features,Low,"eSIM,enable"
140,Telecommunication,The data roaming isn't working abroad,Technical Issues,High,"data roaming,not working"
141,Healthcare,I need to pay my medical bill online,Healthcare Billing,Low,"medical bill,pay online"
142,Healthcare,Can I get a price estimate for surgery?,Healthcare Billing,Medium,"surgery,price estimate"
143,Healthcare,The patient app crashes on startup,Healthcare Technical,High,"patient app,crashes"
144,Healthcare,I need to find a specialist in my area,Healthcare Services,Low,"specialist,find,area"
145,Healthcare,What are the visiting hours?,General Inquiry,Low,"visiting hours"
146,Banking,The mobile check deposit isn't working,Banking Technical,High,"mobile check deposit"
147,Banking,Can I add an authorized user to my account?,Account Management,Medium,"authorized user,add"
148,Banking,I need to dispute a charge,Billing Issues,High,"dispute,charge"
149,Banking,The scheduled transfer didn't execute,Banking Technical,High,"scheduled transfer"
150,Banking,What's the process for inheritance accounts?,Banking Services,Low,"inheritance,account"
151,SaaS,The audit logs aren't accessible,Technical Issues,Medium,"audit logs,accessible"
152,SaaS,Can we get a dedicated account manager?,Enterprise,Medium,"dedicated account manager"
153,SaaS,The email notifications are going to spam,Technical Issues,Medium,"email notifications,spam"
154,SaaS,I need to upgrade to get more API calls,Plan Upgrade,Medium,"API calls,upgrade"
155,SaaS,The workspace is running out of storage,Storage,High,"workspace,storage,out of"
156,Ecommerce,I want to subscribe for monthly boxes,Subscription Services,Low,"subscribe,monthly boxes"
157,Ecommerce,The flash sale didn't apply the discount,Sales,Medium,"flash sale,discount"
158,Ecommerce,Can I change my registered email?,Account Management,Low,"registered email,change"
159,Telecommunication,I want to switch to paperless billing,Billing,Low,"paperless billing"
160,Telecommunication,The 5G isn't available in my area,Service Coverage,Medium,"5G,not available"
161,Healthcare,Can I get assistance in Spanish?,Language Services,Low,"Spanish,assistance"
162,Healthcare,I need to update my insurance information,Healthcare Services,Low,"insurance,update"
163,Banking,The interest payment didn't process,Billing Issues,Medium,"interest payment"
164,Banking,Can I get a cash advance?,Banking Services,Medium,"cash advance"
165,SaaS,The team permissions are not applying correctly,Technical Issues,Medium,"team permissions"
166,SaaS,How do I create a guest account?,Account Management,Low,"guest account,create"
167,Ecommerce,I want to know the status of my refund,Returns & Refunds,Medium,"refund,status"
168,Telecommunication,The hotspot isn't working on my phone,Technical Issues,High,"hotspot,not working"
169,Healthcare,I need to complete intake forms before appointment,Healthcare Services,Low,"intake forms"
170,SaaS,The custom field isn't saving,Technical Issues,Medium,"custom field,not saving"
171,Ecommerce,Do you ship internationally?,Shipping Info,Low,"ship,internationally"
172,Telecommunication,I want to enable auto-pay,Billing,Low,"auto-pay,enable"
173,Banking,Can I convert my account to joint?,Account Conversion,Medium,"convert,joint account"
174,SaaS,We need to migrate users to new roles,Account Management,Medium,"migrate,users,roles"
175,Ecommerce,The promo reward points didn't credit,Account Issues,Medium,"promo points,not credited"
176,Telecommunication,How do I check my plan details?,Account Info,Low,"plan details,check"
177,Healthcare,The lab results aren't in my portal,Healthcare Services,Medium,"lab results,portal"
178,Banking,The external transfer was rejected,Banking Technical,Medium,"external transfer,rejected"
179,SaaS,The document version history is wrong,Technical Issues,Medium,"document,version history"
180,Ecommerce,Can I get a receipt for my order?,Order Info,Low,"receipt,order"
181,Telecommunication,I want to report spam calls,Service Issues,Low,"spam calls,report"
182,Healthcare,Can I get a doctor note for work?,Healthcare Services,Low,"doctor note"
183,Banking,The security questions aren't working,Account Security,High,"security questions"
184,SaaS,How do I set up recurring reports?,Features,Low,"recurring reports,setup"
185,Ecommerce,The size guide isn't showing correctly,Technical Issues,Low,"size guide"
186,Telecommunication,I need to enable WiFi calling,Features,Low,"WiFi calling,enable"
187,Healthcare,The appointment reminder wasn't sent,Healthcare Services,Medium,"appointment reminder"
188,Banking,The account freeze wasn't lifted,Banking Services,High,"account freeze,lift"
189,SaaS,The data export is missing records,Data Issues,High,"data export,missing"
190,Ecommerce,How do I save items for later?,Wishlist,Low,"save items,wishlist"
191,Telecommunication,The international roaming isn't activating,Service Issues,High,"international roaming"
192,Healthcare,I need to pay my deductible,Healthcare Billing,Low,"deductible,pay"
193,Banking,The bill pay scheduled wrong amount,Billing Issues,Medium,"bill pay,amount"
194,SaaS,Can I get a trial of the enterprise features?,Sales,Low,"enterprise trial"
195,Ecommerce,The loyalty points expired,Account Issues,Medium,"loyalty points,expired"
196,Telecommunication,How do I check my call history?,Usage Info,Low,"call history,check"
197,Healthcare,Can I change my pharmacy?,Healthcare Services,Low,"pharmacy,change"
198,Banking,The wire fee seems too high,Billing,Medium,"wire fee"
199,SaaS,The calendar sync isn't working,Technical Issues,Medium,"calendar sync"
200,Ecommerce,The currency shown is wrong,Technical Issues,Low,"currency,wrong"
