ticket_text,category,priority,reason
There's an unknown charge of $149.99 on my account this month.,Billing,High,Unrecognized charge requiring investigation
The Firefox search function returns no results for anything I type.,Technical Support,Medium,Search feature returning empty results
I want to grant read-only access to my account for my accountant.,Account Management,Medium,Read-only access grant request for third party
I set up set-top box but it won't appear in the Safari dashboard.,Technical Support,Medium,Device not detected after setup
I need to export my account activity log for the past year.,Account Management,High,Annual account activity log export request
I was charged for dark mode which I never subscribed to.,Billing,Medium,Charge for unsubscribed service or feature
I can hear the other person but they can't hear me on the desktop client.,Technical Support,High,One-way audio issue in communication app
My desktop PC isn't syncing with platform cloud storage.,Technical Support,High,Cloud sync failure between device and service
The same issue keeps recurring every 3 weeks. Nothing is fixed permanently.,Complaints & Escalations,High,Recurring issue with no permanent resolution
The currency on my invoice is wrong. I should be billed in EUR.,Billing,High,Incorrect billing currency on invoice
My refund of $9.99 was promised 14 days ago but hasn't arrived.,Billing,High,Delayed refund not received in expected timeframe
My account permissions were changed without my approval.,Account Management,High,Unauthorized permission change on account
My router's orange light keeps blinking. No internet access.,Technical Support,Medium,Router status light indicating connectivity issue
Is platform available in my country?,General Inquiry,Low,Service geographic availability inquiry
Video calls on Outlook keep freezing every few seconds.,Technical Support,Medium,Video streaming quality issue
My corporate discount isn't showing on the latest invoice.,Billing,Medium,Corporate discount not applied to billing
My linked social login stopped working after I changed my password.,Account Management,Medium,Social login broken after password change
We're a startup of 15 people. Which plan would you recommend?,Sales / Plan Upgrade,Low,Plan recommendation requested for small team
I can't change my username because it says it's already taken by me.,Account Management,Medium,Username change blocked due to system conflict
I can't find where to update my mailing address in the settings.,Account Management,Medium,Mailing address update location assistance needed
Can I downgrade from Basic to Premium without losing my data?,Sales / Plan Upgrade,Low,Plan downgrade inquiry with data retention concern
My account shows last login from a device I don't recognize.,Account Management,Low,Unrecognized device in login history
I never received my invoice for May. Please resend it.,Billing,High,Missing invoice for billing period
My bill is showing taxes I shouldn't be charged based on my location.,Billing,Medium,Incorrect tax applied to billing
Can I downgrade from Professional to Premium without losing my data?,Sales / Plan Upgrade,Medium,Plan downgrade inquiry with data retention concern
Do you offer a free trial for the Enterprise plan before purchasing?,Sales / Plan Upgrade,Low,Free trial availability inquiry for paid plan
Can I downgrade from Standard to Business without losing my data?,Sales / Plan Upgrade,Medium,Plan downgrade inquiry with data retention concern
Why did my bill increase from $19.99 to $29.99 without notice?,Billing,Low,Unexplained price increase on monthly bill
I want to upgrade my storage from 200 GB to 1000 GB.,Sales / Plan Upgrade,Low,Storage capacity upgrade request
I see a charge labeled 'ADDON-CHARGE' that I don't recognize.,Billing,Medium,Unidentifiable line item on invoice
The account recovery codes I saved are not working.,Account Management,Low,Account recovery codes not functioning
We're a startup of 20 people. Which plan would you recommend?,Sales / Plan Upgrade,Low,Plan recommendation requested for small team
My team members can't see the shared folders I set up.,Account Management,High,Shared folder visibility issue for team members
My modem microphone isn't working during your mobile app calls.,Technical Support,High,Microphone not functional during calls
I was promised a callback within 3 hours but no one called.,Complaints & Escalations,Medium,Promised callback not received in timeframe
I can hear the other person but they can't hear me on Slack.,Technical Support,High,One-way audio issue in communication app
Push notifications from Slack stopped arriving on my phone.,Technical Support,High,Push notification delivery failure
My smart speaker is extremely slow after the latest OS update.,Technical Support,High,Performance degradation post-update
I've sent 4 emails with no response in 5 days. This is unacceptable.,Complaints & Escalations,Medium,Multiple unanswered support communications
My account dashboard is showing data from another user.,Account Management,Medium,Incorrect user data displayed on dashboard
Where can I find the user manual for smart speaker?,General Inquiry,Medium,User manual or documentation request
My credit balance of $29.99 hasn't been applied to this month's bill.,Billing,Medium,Existing credit not applied to invoice
Where can I find the user manual for desktop PC?,General Inquiry,Medium,User manual or documentation request
The same issue keeps recurring every 2 weeks. Nothing is fixed permanently.,Complaints & Escalations,High,Recurring issue with no permanent resolution
Why did my bill increase from $29.99 to $49.99 without notice?,Billing,High,Unexplained price increase on monthly bill
My credit balance of $19.99 hasn't been applied to this month's bill.,Billing,Low,Existing credit not applied to invoice
I forgot the answer to my security question and can't log in.,Account Management,Low,Security question answer forgotten preventing login
I've been waiting 10 days for a resolution and no one has followed up.,Complaints & Escalations,High,Extended wait time with no follow-up on ticket
Where can I find the user manual for laptop?,General Inquiry,Low,User manual or documentation request
I need to add a secondary email address to my account.,Account Management,Low,Secondary email addition requested
I cancelled my subscription 5 days ago but was still charged.,Billing,Medium,Charge applied after cancellation
VoIP is showing error code ERR_404 on my tablet.,Technical Support,High,Error code blocking service access
How long does it take to process a new account application?,General Inquiry,Low,Account application processing time inquiry
I need to update the company tax ID associated with my account.,Account Management,Low,Company tax ID update on account required
I need receipts for the past 10 months for expense reporting.,Billing,Medium,Historical receipts required for accounting
The early termination fee of $9.99 charged seems incorrect.,Billing,Low,Early termination fee dispute
I need to enable API access for my developer account.,Account Management,Low,API access activation for developer account
What's the volume discount for 2+ licenses for our organization?,Sales / Plan Upgrade,High,Volume licensing discount inquiry
My account was flagged for suspicious activity erroneously.,Account Management,Low,Erroneous suspicious activity flag on account
Do you offer any student discounts for your services?,General Inquiry,Low,Student discount availability inquiry
I never received my invoice for July. Please resend it.,Billing,Low,Missing invoice for billing period
I switched plans mid-month but was charged full price for both plans.,Billing,High,Prorated billing not applied during plan switch
My profile shows incorrect location data I never entered.,Account Management,Medium,Incorrect location data on account profile
My desktop PC is extremely slow after the latest OS update.,Technical Support,High,Performance degradation post-update
We want to switch from a competitor. Do you offer migration support?,Sales / Plan Upgrade,Medium,Competitor migration inquiry with support request
Is there an educational or non-profit discount available?,Sales / Plan Upgrade,Medium,Discounted pricing eligibility inquiry
My desktop PC microphone isn't working during Teams calls.,Technical Support,High,Microphone not functional during calls
Does the Enterprise plan include share? I need it for my workflow.,Sales / Plan Upgrade,Low,Feature availability inquiry before plan decision
The sync feature stopped working after I reinstalled the app.,Technical Support,High,Feature malfunction after user action
How do I export all my data from the platform?,General Inquiry,Low,Data export process inquiry
I've sent 10 emails with no response in 7 days. This is unacceptable.,Complaints & Escalations,Medium,Multiple unanswered support communications
I've sent 50 emails with no response in 5 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
I need an itemized breakdown of my $49.99 invoice from July.,Billing,Medium,Itemized invoice breakdown requested
I was charged $49.99 twice this month. Please refund the extra amount.,Billing,Medium,Duplicate charge detected on account
I overpaid by $19.99 last month. Can I get a credit or refund?,Billing,Medium,Overpayment requiring credit or refund
My account is locked and I'm not receiving the unlock email.,Account Management,High,Account unlock email not being received
I need receipts for the past 15 months for expense reporting.,Billing,Medium,Historical receipts required for accounting
I was given incorrect information by your support team about cancellation policy.,Complaints & Escalations,Medium,Incorrect information provided by support agent
We need white-label options. Does your enterprise plan include that?,Sales / Plan Upgrade,Medium,White-label feature inquiry for enterprise use
Video calls on Chrome keep freezing every few seconds.,Technical Support,High,Video streaming quality issue
My set-top box is extremely slow after the latest OS update.,Technical Support,Medium,Performance degradation post-update
My set-top box isn't syncing with email cloud storage.,Technical Support,Medium,Cloud sync failure between device and service
I was promised a callback within 5 hours but no one called.,Complaints & Escalations,Medium,Promised callback not received in timeframe
What's the volume discount for 15+ licenses for our organization?,Sales / Plan Upgrade,Medium,Volume licensing discount inquiry
I overpaid by $9.99 last month. Can I get a credit or refund?,Billing,High,Overpayment requiring credit or refund
My smart TV is extremely slow after the latest firmware update.,Technical Support,High,Performance degradation post-update
Where can I find the user manual for router?,General Inquiry,High,User manual or documentation request
Your VPN downtime cost me $19.99 in lost business this week.,Complaints & Escalations,High,Financial loss attributed to service downtime
I see a charge labeled 'SVC-FEE-001' that I don't recognize.,Billing,Low,Unidentifiable line item on invoice
Please deactivate my account temporarily while I'm traveling.,Account Management,Low,Temporary account deactivation requested
Can you tell me what additional features I get with the Plus plan?,Sales / Plan Upgrade,Low,Feature comparison inquiry for higher tier plan
The ticket I raised 3 days ago was closed without any resolution.,Complaints & Escalations,Low,Support ticket closed without resolution
I need an itemized breakdown of my $9.99 invoice from July.,Billing,High,Itemized invoice breakdown requested
How do I submit a feature request or product feedback?,General Inquiry,Low,Feature request submission process inquiry
I need to update my email address from user.old@company.com to newemail@example.com.,Account Management,High,Email address update required on account
I need an itemized breakdown of my $49.99 invoice from February.,Billing,Low,Itemized invoice breakdown requested
I want a formal written apology and compensation for this inconvenience.,Complaints & Escalations,High,Formal apology and compensation demand
My annual plan was renewed but I requested cancellation last month.,Billing,Medium,Unwanted annual plan auto-renewal
The Zoom dark mode setting resets every time I reopen the app.,Technical Support,High,User preference not persisting across sessions
Do you offer a free trial for the Premium plan before purchasing?,Sales / Plan Upgrade,Low,Free trial availability inquiry for paid plan
I overpaid by $149.99 last month. Can I get a credit or refund?,Billing,High,Overpayment requiring credit or refund
Can you tell me what additional features I get with the Professional plan?,Sales / Plan Upgrade,Low,Feature comparison inquiry for higher tier plan
I was promised a callback within 15 hours but no one called.,Complaints & Escalations,High,Promised callback not received in timeframe
My account is showing an old profile picture I deleted months ago.,Account Management,High,Outdated profile picture persisting on account
This is the 10th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
Can I downgrade from Starter to Professional without losing my data?,Sales / Plan Upgrade,High,Plan downgrade inquiry with data retention concern
Your service has been down for 10 hours and nobody is communicating.,Complaints & Escalations,High,Prolonged outage with no communication from provider
I accidentally deleted my account. Can it be restored?,Account Management,Low,Accidental account deletion recovery request
The share button is greyed out and unclickable in your mobile app.,Technical Support,High,UI element unresponsive in application
I've been waiting 14 days for a resolution and no one has followed up.,Complaints & Escalations,High,Extended wait time with no follow-up on ticket
Does the premium plan support integration with Trello?,Sales / Plan Upgrade,Low,Third-party integration availability inquiry
My account got banned while I was on vacation. I don't know why.,Account Management,High,Account ban occurring during user absence
I need an itemized breakdown of my $99.99 invoice from July.,Billing,Medium,Itemized invoice breakdown requested
I need to dispute a charge of $149.99 from April.,Billing,High,Billing dispute for specific charge
I want to gift a subscription to a colleague. Is that possible?,Sales / Plan Upgrade,Low,Subscription gifting option inquiry
Does the premium plan support integration with Slack?,Sales / Plan Upgrade,Low,Third-party integration availability inquiry
Please help me reactivate my account that was closed last year.,Account Management,Medium,Closed account reactivation request
My profile picture won't update. It keeps reverting to the old one.,Account Management,Low,Profile photo update not persisting
My security questions are no longer recognized by the system.,Account Management,Medium,Security questions not accepted by system
File uploads to email fail after reaching 50%.,Technical Support,High,Upload failure at specific completion threshold
Please help me verify my identity to regain access to my account.,Account Management,High,Identity verification needed for account access
I'm trying to delete my account but can't find the option.,Account Management,Low,Account deletion option not accessible
I want to add 4 more user seats to our current business account.,Sales / Plan Upgrade,Low,Additional user seats requested for business plan
The ticket I raised 14 days ago was closed without any resolution.,Complaints & Escalations,Medium,Support ticket closed without resolution
Can I get a quote for 10 enterprise licenses for our company?,Sales / Plan Upgrade,Medium,Enterprise license quote request
My account's API key was compromised. Please rotate it.,Account Management,High,Compromised API key rotation request
I need to transfer my account to a different team member.,Account Management,Medium,Account ownership transfer request
Someone is using my account from a different country. Please help.,Account Management,Low,Unauthorized access from foreign location detected
The ticket I raised 7 days ago was closed without any resolution.,Complaints & Escalations,High,Support ticket closed without resolution
There's an unknown charge of $19.99 on my account this month.,Billing,High,Unrecognized charge requiring investigation
The mobile app dark mode setting resets every time I reopen it.,Technical Support,High,User preference not persisting across sessions
I need an itemized breakdown of my $149.99 invoice from January.,Billing,Medium,Itemized invoice breakdown requested
I see a charge labeled 'OVERAGE-FEE' that I don't recognize.,Billing,Medium,Unidentifiable line item on invoice
I requested a payment extension but was still charged a penalty.,Billing,Medium,Penalty charged despite approved extension
How do I update my notification preferences?,General Inquiry,Medium,Notification settings customization inquiry
The Chrome app crashes whenever I try to open a file. Running version 10.,Technical Support,High,Application crash preventing normal usage
I can't share my screen on the mobile app. The option is missing.,Technical Support,Medium,Screen share feature missing from application
What are your customer support hours? I need to reach someone urgently.,General Inquiry,Medium,Support availability hours inquiry
Does your Enterprise plan offer API access? We need it for development.,Sales / Plan Upgrade,Low,API access availability in plan inquiry
My team admin removed me accidentally. Please restore my access.,Account Management,High,Accidental access removal by team admin
I cancelled my subscription 7 days ago but was still charged.,Billing,Medium,Charge applied after cancellation
I want to add 3 more user seats to our current business account.,Sales / Plan Upgrade,Medium,Additional user seats requested for business plan
Your service has been down for 30 hours and nobody is communicating.,Complaints & Escalations,Medium,Prolonged outage with no communication from provider
I want to upgrade my storage from 100 GB to 200 GB.,Sales / Plan Upgrade,Medium,Storage capacity upgrade request
What's the maximum file size I can upload to email?,General Inquiry,Low,File upload size limit inquiry
Can I create a sub-account for my team member under my plan?,Account Management,Medium,Sub-account creation request for team member
I set up smart TV but it won't appear in the Zoom dashboard.,Technical Support,Medium,Device not detected after setup
File uploads to platform fail after reaching 90%.,Technical Support,Low,Upload failure at specific completion threshold
I'd like to upgrade from the Professional plan to the Business plan. What's the cost?,Sales / Plan Upgrade,Low,Customer inquiring about plan upgrade pricing
The early termination fee of $149.99 charged seems incorrect.,Billing,Medium,Early termination fee dispute
The auto-save feature stopped working after I updated the app.,Technical Support,Medium,Feature malfunction after user action
Does the Enterprise plan include auto-save? I need it for my workflow.,Sales / Plan Upgrade,Medium,Feature availability inquiry before plan decision
I cancelled my subscription 30 days ago but was still charged.,Billing,Low,Charge applied after cancellation
I can't receive emails on Outlook. Sending works fine.,Technical Support,Medium,Email receive-only failure
The early termination fee of $99.99 charged seems incorrect.,Billing,High,Early termination fee dispute
I was charged for backup which I never subscribed to.,Billing,Medium,Charge for unsubscribed service or feature
My refund of $29.99 was promised 5 days ago but hasn't arrived.,Billing,High,Delayed refund not received in expected timeframe
The Zoom search function returns no results for anything I type.,Technical Support,Medium,Search feature returning empty results
I need to update my company name on the account profile.,Account Management,Low,Company name update required on profile
My account was merged with someone else's by mistake.,Account Management,Low,Erroneous account merge requiring separation
Your dashboard downtime cost me $49.99 in lost business this week.,Complaints & Escalations,Medium,Financial loss attributed to service downtime
Internet is showing error code ERR_404 on my desktop PC.,Technical Support,Medium,Error code blocking service access
I set up tablet but it won't appear in the Safari dashboard.,Technical Support,High,Device not detected after setup
I need to add the priority support add-on to my existing subscription.,Sales / Plan Upgrade,Low,Add-on feature purchase request
Can I use streaming offline without an internet connection?,General Inquiry,Low,Offline functionality availability inquiry
What happens to my data if I cancel after upgrading?,Sales / Plan Upgrade,High,Data retention policy inquiry after cancellation
My VPN router shows connected but no pages load.,Technical Support,Low,Connected status with no actual internet access
What's the maximum file size I can upload to cloud storage?,General Inquiry,High,File upload size limit inquiry
I'm interested in the reseller program. How do I get started?,Sales / Plan Upgrade,Low,Reseller partnership inquiry
There's an unknown charge of $49.99 on my account this month.,Billing,Medium,Unrecognized charge requiring investigation
I can't verify my identity with the documents I submitted.,Account Management,Low,Identity verification failure with submitted documents
I need an itemized breakdown of my $9.99 invoice from August.,Billing,Medium,Itemized invoice breakdown requested
My dashboard speed is much slower than the promised 500 Mbps.,Technical Support,Low,Service speed below contracted level
The portal desktop app won't install on Windows 2.3.,Technical Support,Low,Software installation failure on specific OS version
I have two accounts and want to keep only one with all the data.,Account Management,Medium,Account consolidation with data merge request
I need to add the analytics dashboard add-on to my existing subscription.,Sales / Plan Upgrade,Low,Add-on feature purchase request
I was charged for notifications which I never subscribed to.,Billing,High,Charge for unsubscribed service or feature
I want to upgrade my storage from 200 GB to 500 GB.,Sales / Plan Upgrade,Low,Storage capacity upgrade request
I applied a promo code but the discount wasn't applied to my bill.,Billing,Low,Promotional discount not reflected in billing
My portal router shows connected but no pages load.,Technical Support,High,Connected status with no actual internet access
Your platform downtime cost me $149.99 in lost business this week.,Complaints & Escalations,High,Financial loss attributed to service downtime
I need to add another admin user to our company account.,Account Management,High,Additional admin user access requested
Can I use VoIP offline without an internet connection?,General Inquiry,High,Offline functionality availability inquiry
I need written confirmation that my account data will be deleted.,Account Management,High,Data deletion confirmation document request
I want to set up email alerts for any login to my account.,Account Management,High,Login alert notification setup request
I need to add an alternate admin contact to the account.,Account Management,Medium,Alternate admin contact addition requested
My autopay failed but I was charged a late fee anyway.,Billing,High,Late fee applied despite autopay setup
I want to enable dark mode as the default for my account.,Account Management,Medium,Dark mode as default account preference request
Why did my bill increase from $14.99 to $149.99 without notice?,Billing,Medium,Unexplained price increase on monthly bill
My account shows the wrong subscription plan despite upgrading.,Account Management,Medium,Subscription plan not reflecting recent upgrade
I need to dispute a charge of $29.99 from August.,Billing,Medium,Billing dispute for specific charge
I'd like to upgrade from the Standard plan to the Premium plan. What's the cost?,Sales / Plan Upgrade,Low,Customer inquiring about plan upgrade pricing
Is dashboard available in my country?,General Inquiry,Low,Service geographic availability inquiry
What is your service uptime guarantee?,General Inquiry,Medium,Service level agreement uptime inquiry
I need to add a backup phone number to my account.,Account Management,High,Backup phone number addition requested
The backup button is greyed out and unclickable in Outlook.,Technical Support,High,UI element unresponsive in application
Can I keep my current number when upgrading to the premium plan?,Sales / Plan Upgrade,Low,Number portability inquiry during plan upgrade
I want to upgrade before the end of the month. Is there a deadline?,Sales / Plan Upgrade,Low,Upgrade timing inquiry for promotional purposes
My issue was escalated but the escalation team never contacted me.,Complaints & Escalations,Medium,Escalation team failed to follow up
I want to enable biometric login for my account.,Account Management,Low,Biometric authentication setup request
Does your Business plan offer API access? We need it for development.,Sales / Plan Upgrade,Low,API access availability in plan inquiry
